Order ID,Ship Date,Ship Mode,OrderID_SK
CA-2015-110744,2015-09-12,Standard Class,70
CA-2014-110072,2014-10-28,Standard Class,71
CA-2016-114489,2016-12-09,Standard Class,72
CA-2016-158834,2016-03-16,First Class,73
CA-2015-124919,2015-06-02,First Class,74
CA-2015-118948,2015-06-03,Standard Class,75
CA-2014-104269,2014-03-06,Second Class,76
CA-2016-114104,2016-11-24,Standard Class,77
CA-2016-162733,2016-05-12,First Class,78
CA-2015-119697,2015-12-31,Second Class,79
CA-2016-154508,2016-11-20,Standard Class,80
CA-2016-113817,2016-11-11,Standard Class,81
CA-2014-139892,2014-09-12,Standard Class,82
CA-2014-118962,2014-08-09,Standard Class,83
US-2014-100853,2014-09-19,Standard Class,84
US-2017-152366,2017-04-25,Second Class,85
US-2015-101511,2015-11-23,Second Class,86
CA-2015-137225,2015-12-19,Standard Class,87
CA-2014-166191,2014-12-09,Second Class,88
CA-2014-158274,2014-11-24,Second Class,89
CA-2016-105018,2016-12-02,Standard Class,90
CA-2014-123260,2014-08-30,Standard Class,91
CA-2016-157000,2016-07-22,Standard Class,92
CA-2015-102281,2015-10-14,First Class,93
CA-2015-131457,2015-11-06,Standard Class,94
CA-2014-140004,2014-03-25,Standard Class,95
CA-2017-107720,2017-11-13,Standard Class,96
US-2017-124303,2017-07-13,Standard Class,97
CA-2017-105074,2017-06-29,Standard Class,98
CA-2014-133690,2014-08-05,First Class,99
US-2017-116701,2017-12-21,Second Class,100
CA-2017-126382,2017-06-07,Standard Class,101
CA-2017-108329,2017-12-14,Standard Class,102
CA-2017-135860,2017-12-07,Standard Class,103
CA-2015-101007,2015-02-13,Second Class,104
CA-2015-146262,2015-01-09,Standard Class,105
CA-2016-130162,2016-11-01,Standard Class,106
CA-2015-169397,2015-12-27,First Class,107
CA-2015-163055,2015-08-16,Standard Class,108
US-2015-145436,2015-03-04,Standard Class,109
US-2014-156216,2014-09-17,Standard Class,110
US-2017-100930,2017-04-12,Standard Class,111
CA-2017-160514,2017-11-16,Standard Class,112
CA-2016-157749,2016-06-09,Second Class,113
CA-2014-131926,2014-06-06,Second Class,114
CA-2016-154739,2016-12-15,Second Class,115
CA-2016-145625,2016-09-17,Standard Class,116
CA-2016-146941,2016-12-13,First Class,117
US-2015-159982,2015-12-04,Standard Class,118
CA-2017-163139,2017-12-03,Second Class,119
US-2017-155299,2017-06-12,Standard Class,120
US-2014-106992,2014-09-21,Second Class,121
CA-2016-125318,2016-06-13,Standard Class,122
CA-2015-155040,2015-11-15,Standard Class,123
CA-2017-136826,2017-06-20,Standard Class,124
CA-2016-111010,2016-01-28,Standard Class,125
US-2017-145366,2017-12-13,Standard Class,126
CA-2017-163979,2018-01-02,Second Class,127
CA-2015-155334,2015-07-31,First Class,128
CA-2017-118136,2017-09-17,First Class,129
CA-2017-132976,2017-10-17,Standard Class,130
US-2015-161991,2015-09-28,Second Class,131
CA-2015-130890,2015-11-06,Standard Class,132
CA-2015-130883,2015-10-02,Standard Class,133
CA-2016-112697,2016-12-20,Second Class,134
CA-2016-110772,2016-11-24,Second Class,135
CA-2014-111451,2014-12-28,First Class,136
CA-2016-142545,2016-11-03,Standard Class,137
US-2017-152380,2017-11-23,Standard Class,138
CA-2015-144253,2015-05-09,Second Class,139
CA-2014-130960,2015-01-04,Standard Class,140
CA-2014-111003,2014-06-06,Standard Class,141
CA-2017-126774,2017-04-17,First Class,142
CA-2016-142902,2016-09-14,Second Class,143
CA-2014-120887,2014-10-03,Standard Class,144
CA-2014-167850,2014-08-16,Standard Class,145
CA-2014-164259,2014-12-30,First Class,146
CA-2014-164973,2014-11-09,Standard Class,147
CA-2014-156601,2014-09-24,Standard Class,148
CA-2016-162138,2016-04-27,Standard Class,149
CA-2017-153339,2017-11-05,Second Class,150
US-2016-141544,2016-09-01,First Class,151
US-2016-150147,2016-04-29,Second Class,152
CA-2015-137946,2015-09-04,Second Class,153
CA-2014-129924,2014-07-17,Standard Class,154
CA-2015-128167,2015-06-26,Second Class,155
CA-2014-122336,2014-04-17,Second Class,156
US-2015-120712,2015-12-24,Standard Class,157
CA-2017-169901,2017-06-19,Standard Class,158
CA-2017-134306,2017-07-12,Standard Class,159
CA-2016-129714,2016-09-03,First Class,160
CA-2016-138520,2016-04-13,Standard Class,161
CA-2016-130001,2016-04-28,Standard Class,162
CA-2017-155698,2017-03-11,First Class,163
CA-2017-144904,2017-10-01,Standard Class,164
CA-2014-123344,2014-09-29,Standard Class,165
CA-2016-155516,2016-10-21,Same Day,166
CA-2017-104745,2017-06-04,Standard Class,167
US-2014-119137,2014-07-27,Standard Class,168
US-2016-134656,2016-10-01,First Class,169
US-2017-134481,2017-09-01,Standard Class,170
CA-2015-130792,2015-05-05,Standard Class,171
CA-2016-134775,2016-10-29,First Class,172
CA-2015-125395,2015-06-29,Second Class,173
US-2015-168935,2015-12-02,Standard Class,174
CA-2015-122756,2015-12-07,Standard Class,175
CA-2014-115973,2014-11-26,First Class,176
CA-2017-101798,2017-12-15,Standard Class,177
US-2014-135972,2014-09-23,Second Class,178
US-2014-134971,2014-06-10,Second Class,179
CA-2017-102946,2017-07-05,Standard Class,180
CA-2017-165603,2017-10-19,Second Class,181
CA-2015-122259,2015-11-04,Standard Class,182
CA-2016-108987,2016-09-10,Second Class,183
CA-2014-113166,2014-12-26,First Class,184
CA-2014-155208,2014-04-20,Standard Class,185
CA-2017-117933,2017-12-29,Standard Class,186
CA-2017-117457,2017-12-12,Standard Class,187
CA-2017-142636,2017-11-07,Standard Class,188
CA-2017-122105,2017-06-28,Standard Class,189
CA-2016-148796,2016-04-18,Standard Class,190
CA-2017-154816,2017-11-10,Standard Class,191
CA-2017-110478,2017-03-09,Standard Class,192
CA-2014-142048,2014-06-25,First Class,193
CA-2017-125388,2017-10-23,Standard Class,194
CA-2017-155705,2017-08-23,Second Class,195
CA-2017-149160,2017-11-26,Second Class,196
CA-2014-101476,2014-09-13,First Class,197
CA-2017-152275,2017-10-08,Standard Class,198
US-2016-123750,2016-04-21,Standard Class,199
CA-2016-127369,2016-06-07,First Class,200
US-2014-150574,2014-12-25,Standard Class,201
CA-2016-147375,2016-06-14,Second Class,202
CA-2017-130043,2017-09-19,Standard Class,203
CA-2017-157252,2017-01-23,Second Class,204
CA-2016-115756,2016-09-07,Second Class,205
CA-2017-154214,2017-03-25,Second Class,206
CA-2016-166674,2016-04-03,Second Class,207
CA-2017-147277,2017-10-24,Standard Class,208
CA-2016-100153,2016-12-17,Standard Class,209
US-2014-110674,2014-02-18,Standard Class,210
US-2016-157945,2016-10-01,Standard Class,211
CA-2015-109638,2015-12-22,Standard Class,212
CA-2016-109869,2016-04-29,Standard Class,213
US-2015-101399,2015-01-24,Standard Class,214
CA-2017-154907,2017-04-04,Standard Class,215
US-2016-100419,2016-12-20,Second Class,216
CA-2015-154144,2015-12-24,Standard Class,217
CA-2014-144666,2014-11-11,Second Class,218
CA-2016-103891,2016-07-19,Standard Class,219
CA-2016-152632,2016-11-02,Standard Class,220
CA-2016-100790,2016-07-02,Standard Class,221
CA-2014-134677,2014-10-10,Standard Class,222
CA-2014-127691,2014-07-27,Standard Class,223
CA-2017-140963,2017-06-13,First Class,224
CA-2014-154627,2014-10-31,First Class,225
CA-2014-133753,2014-06-13,Second Class,226
CA-2014-113362,2014-09-19,Standard Class,227
CA-2016-169166,2016-05-14,Standard Class,228
US-2016-120929,2016-03-21,Second Class,229
CA-2015-134782,2015-12-31,Standard Class,230
CA-2016-126158,2016-07-31,Standard Class,231
US-2016-105578,2016-06-04,Standard Class,232
CA-2017-134978,2017-11-15,Second Class,233
CA-2015-145352,2015-03-22,Standard Class,234
CA-2017-135307,2017-11-27,First Class,235
CA-2016-106341,2016-10-23,First Class,236
CA-2017-163405,2017-12-25,Standard Class,237
CA-2017-127432,2017-01-27,Standard Class,238
CA-2015-157812,2015-03-26,Standard Class,239
CA-2017-145142,2017-01-25,First Class,240
US-2016-139486,2016-05-23,First Class,241
CA-2015-158792,2016-01-02,Standard Class,242
CA-2017-113558,2017-10-26,Standard Class,243
US-2015-138303,2015-09-07,Standard Class,244
CA-2015-102848,2015-11-09,Second Class,245
US-2017-129441,2017-09-11,Standard Class,246
CA-2016-168753,2016-06-01,Second Class,247
CA-2016-126613,2016-07-16,Standard Class,248
US-2017-122637,2017-09-08,Second Class,249
CA-2015-147851,2015-12-08,Standard Class,250
CA-2015-134894,2015-12-11,Standard Class,251
CA-2014-140795,2014-02-03,First Class,252
CA-2016-136924,2016-07-17,First Class,253
US-2015-120161,2015-12-23,Standard Class,254
CA-2014-103849,2014-05-16,Standard Class,255
CA-2017-162929,2017-11-22,First Class,256
CA-2015-113173,2015-11-17,Second Class,257
CA-2016-136406,2016-04-17,Second Class,258
CA-2017-112774,2017-09-12,First Class,259
CA-2017-101945,2017-11-28,Standard Class,260
CA-2017-100650,2017-07-03,Second Class,261
CA-2014-155852,2014-03-07,Second Class,262
CA-2016-113243,2016-06-15,Standard Class,263
CA-2017-118731,2017-11-22,Second Class,264
CA-2014-145576,2014-09-18,Second Class,265
CA-2015-130736,2015-12-09,First Class,266
CA-2017-137099,2017-12-10,First Class,267
CA-2017-156951,2017-10-08,Standard Class,268
CA-2017-164826,2018-01-04,Standard Class,269
CA-2016-127250,2016-11-07,Standard Class,270
CA-2015-149713,2015-09-22,Second Class,271
CA-2017-118640,2017-07-26,Standard Class,272
CA-2015-132906,2015-09-14,Standard Class,273
CA-2017-145233,2017-12-05,Standard Class,274
CA-2015-128139,2015-07-09,Standard Class,275
US-2016-156986,2016-03-24,Standard Class,276
CA-2014-135405,2014-01-13,Standard Class,277
CA-2014-131450,2014-08-15,Standard Class,278
CA-2016-120180,2016-07-16,First Class,279
US-2016-100720,2016-07-21,Standard Class,280
CA-2014-149958,2014-03-19,Standard Class,281
US-2014-105767,2014-05-27,Standard Class,282
CA-2016-161816,2016-05-01,First Class,283
CA-2016-121223,2016-09-13,Second Class,284
CA-2017-138611,2017-11-17,Second Class,285
CA-2017-117947,2017-08-23,Second Class,286
US-2014-111171,2014-12-31,Standard Class,287
CA-2015-138009,2015-12-03,Standard Class,288
CA-2017-163020,2017-09-19,Standard Class,289
CA-2017-153787,2017-05-23,Standard Class,290
CA-2017-133431,2017-12-21,Standard Class,291
US-2016-135720,2016-12-13,Second Class,292
CA-2017-144694,2017-09-26,Second Class,293
CA-2015-168004,2015-10-09,Second Class,294
US-2016-123470,2016-08-21,Standard Class,295
CA-2016-115917,2016-05-25,Standard Class,296
CA-2016-147067,2016-12-22,Standard Class,297
CA-2017-167913,2017-08-03,Second Class,298
CA-2017-106103,2017-06-15,Standard Class,299
US-2017-127719,2017-07-25,Standard Class,300
CA-2017-126221,2018-01-05,Standard Class,301
CA-2016-103947,2016-04-08,Standard Class,302
CA-2016-160745,2016-12-16,Second Class,303
CA-2016-132661,2016-10-29,Standard Class,304
CA-2017-140844,2017-06-23,Standard Class,305
CA-2016-137239,2016-08-28,Standard Class,306
US-2016-156097,2016-09-19,Same Day,307
CA-2015-146563,2015-08-28,Standard Class,308
CA-2016-123666,2016-03-30,Standard Class,309
CA-2016-143308,2016-11-04,Same Day,310
CA-2017-132682,2017-06-10,Second Class,311
CA-2014-156314,2014-12-26,First Class,312
US-2017-106663,2017-06-13,Standard Class,313
CA-2017-111178,2017-06-22,Standard Class,314
CA-2017-130351,2017-12-08,First Class,315
US-2017-119438,2017-03-23,Standard Class,316
CA-2016-164511,2016-11-24,Standard Class,317
US-2017-168116,2017-11-04,Same Day,318
CA-2014-157784,2014-07-08,First Class,319
CA-2017-161480,2017-12-29,Standard Class,320
US-2014-117135,2014-06-23,Second Class,321
CA-2015-131534,2015-04-02,Standard Class,322
CA-2015-119291,2015-05-17,First Class,323
CA-2017-114552,2017-09-08,Standard Class,324
CA-2016-163755,2016-11-08,Second Class,325
CA-2015-142027,2015-04-14,Standard Class,326
CA-2014-138527,2014-09-17,Standard Class,327
CA-2014-112158,2014-12-04,First Class,328
CA-2014-113887,2014-04-07,First Class,329
CA-2017-146136,2017-09-07,Standard Class,330
US-2017-100048,2017-05-24,Standard Class,331
CA-2014-153150,2014-07-06,Second Class,332
CA-2014-130092,2014-01-14,First Class,333
CA-2017-108910,2017-09-29,Standard Class,334
CA-2014-104472,2014-06-07,Standard Class,335
CA-2016-112942,2016-02-18,Standard Class,336
CA-2016-142335,2016-12-19,Standard Class,337
CA-2014-117429,2014-10-13,Standard Class,338
CA-2016-114713,2016-07-12,Standard Class,339
CA-2017-144113,2017-09-20,Standard Class,340
US-2016-150861,2016-12-06,First Class,341
CA-2017-131954,2017-01-25,Standard Class,342
CA-2014-132500,2014-09-12,Standard Class,343
CA-2014-112326,2014-01-08,Standard Class,344
US-2016-146710,2016-09-01,Standard Class,345
CA-2014-124429,2014-05-27,Same Day,346
CA-2016-150889,2016-03-22,Second Class,347
CA-2017-126074,2017-10-06,Standard Class,348
CA-2016-110499,2016-04-09,First Class,349
CA-2015-135272,2015-12-12,Standard Class,350
CA-2016-140928,2016-09-22,Standard Class,351
CA-2014-106803,2015-01-02,Standard Class,352
CA-2017-117240,2017-07-28,Standard Class,353
CA-2017-133333,2017-09-22,Standard Class,354
CA-2015-112319,2015-09-05,Standard Class,355
CA-2017-126046,2017-11-07,Standard Class,356
CA-2015-114923,2015-02-13,Standard Class,357
CA-2014-162775,2014-01-15,Second Class,358
CA-2014-106810,2014-05-20,Standard Class,359
CA-2016-157245,2016-05-24,Standard Class,360
CA-2017-104220,2017-02-05,Standard Class,361
CA-2014-165974,2014-07-06,Standard Class,362
CA-2015-144267,2015-08-23,First Class,363
US-2015-157014,2015-10-06,Second Class,364
CA-2015-154921,2015-05-28,Standard Class,365
CA-2017-129567,2017-03-21,Second Class,366
CA-2015-154620,2015-12-16,Standard Class,367
CA-2015-115938,2015-06-30,Standard Class,368
CA-2016-105256,2016-05-20,Same Day,369
CA-2014-156433,2014-09-26,Standard Class,370
CA-2017-151428,2017-09-26,Standard Class,371
CA-2015-124653,2015-12-26,First Class,372
CA-2015-101910,2015-12-03,Standard Class,373
CA-2017-105809,2017-02-23,First Class,374
CA-2016-136133,2016-08-23,Second Class,375
CA-2016-115504,2016-03-17,Standard Class,376
CA-2017-135783,2017-04-24,First Class,377
CA-2014-134313,2014-11-07,Standard Class,378
CA-2015-140921,2015-02-05,First Class,379
CA-2014-151995,2014-10-15,First Class,380
CA-2017-143686,2017-05-14,Same Day,381
CA-2015-106565,2015-03-23,First Class,382
CA-2016-149370,2016-09-19,Standard Class,383
CA-2014-140858,2014-07-02,Standard Class,384
CA-2017-101434,2017-06-27,Standard Class,385
US-2014-102071,2014-05-15,Standard Class,386
CA-2017-126956,2017-08-28,Standard Class,387
CA-2017-129462,2017-06-21,Second Class,388
CA-2016-165316,2016-07-27,Standard Class,389
US-2014-115987,2014-09-13,Second Class,390
US-2017-156083,2017-11-11,Standard Class,391
US-2016-137547,2016-03-12,Standard Class,392
CA-2015-100454,2015-11-25,Standard Class,393
CA-2016-161669,2016-11-09,First Class,394
CA-2015-114300,2015-10-17,Standard Class,395
CA-2017-107503,2017-01-06,Standard Class,396
CA-2014-107755,2014-02-12,Standard Class,397
CA-2016-152534,2016-06-25,Second Class,398
CA-2016-113747,2016-06-04,Standard Class,399
CA-2016-123274,2016-02-24,Standard Class,400
CA-2014-125612,2014-08-08,Standard Class,401
CA-2017-161984,2017-04-15,Standard Class,402
CA-2014-133851,2014-06-16,Standard Class,403
CA-2016-134474,2016-01-07,Second Class,404
CA-2014-149020,2014-01-15,Standard Class,405
CA-2016-134362,2016-10-02,First Class,406
CA-2014-136742,2014-04-10,Standard Class,407
CA-2016-158099,2016-09-05,First Class,408
CA-2015-131128,2015-10-20,First Class,409
CA-2014-148488,2014-12-15,Standard Class,410
CA-2017-114636,2017-08-29,Standard Class,411
CA-2016-116736,2016-01-21,Standard Class,412
US-2014-158638,2014-09-21,Standard Class,413
CA-2017-111689,2017-12-02,Second Class,414
CA-2015-129098,2015-10-13,Standard Class,415
US-2017-123463,2017-12-23,Same Day,416
CA-2016-165148,2016-10-24,First Class,417
CA-2014-134061,2014-05-04,Standard Class,418
CA-2015-143602,2015-04-28,Second Class,419
CA-2017-115364,2017-07-02,Standard Class,420
CA-2017-150707,2017-10-19,Standard Class,421
CA-2014-104976,2014-12-16,Standard Class,422
CA-2017-132934,2017-06-26,Standard Class,423
CA-2017-133256,2017-06-27,First Class,424
CA-2016-105494,2016-11-12,First Class,425
CA-2016-140634,2016-10-06,Second Class,426
CA-2014-144407,2014-09-15,Standard Class,427
CA-2017-160983,2017-10-31,Second Class,428
US-2016-114622,2016-04-12,First Class,429
CA-2017-150959,2017-11-13,First Class,430
CA-2017-132353,2017-09-17,First Class,431
CA-2016-130477,2016-04-12,Standard Class,432
CA-2017-143259,2018-01-03,Standard Class,433
CA-2017-137596,2017-09-07,Standard Class,434
CA-2015-133627,2015-06-07,Standard Class,435
CA-2017-102519,2017-11-29,First Class,436
US-2014-141215,2014-06-21,Standard Class,437
CA-2016-165218,2016-03-11,Standard Class,438
CA-2014-138296,2014-12-12,Standard Class,439
CA-2015-111164,2015-04-15,Standard Class,440
CA-2016-149797,2016-09-20,Standard Class,441
CA-2014-132962,2014-09-16,First Class,442
CA-2015-115091,2015-10-09,Standard Class,443
CA-2017-144932,2017-04-17,First Class,444
CA-2017-114216,2017-09-06,Standard Class,445
CA-2016-140081,2016-06-24,Standard Class,446
US-2017-111745,2017-11-06,First Class,447
CA-2015-148250,2015-12-17,Standard Class,448
CA-2016-105760,2016-06-20,First Class,449
CA-2016-142958,2016-12-20,Standard Class,450
CA-2015-120880,2015-06-03,Standard Class,451
US-2015-140200,2015-07-28,First Class,452
US-2017-110576,2017-12-02,Standard Class,453
CA-2017-131156,2017-04-07,Standard Class,454
CA-2017-136539,2018-01-01,Standard Class,455
CA-2017-119305,2017-12-04,Standard Class,456
CA-2017-102414,2017-05-18,Second Class,457
CA-2015-112571,2015-09-22,Same Day,458
CA-2017-152142,2017-11-19,Standard Class,459
CA-2015-160059,2015-12-01,Standard Class,460
CA-2016-120859,2016-09-04,First Class,461
CA-2014-127488,2014-09-24,Second Class,462
CA-2017-135279,2017-04-11,First Class,463
CA-2014-115791,2014-01-18,Second Class,464
US-2017-103247,2017-10-08,Second Class,465
US-2017-100209,2017-07-15,Standard Class,466
CA-2017-159366,2017-01-10,First Class,467
CA-2016-145499,2016-05-31,First Class,468
CA-2015-157035,2015-12-12,First Class,469
CA-2016-144939,2016-10-08,Standard Class,470
CA-2014-163419,2014-11-14,Second Class,471
CA-2017-100314,2017-10-05,Standard Class,472
CA-2015-146829,2015-03-10,Same Day,473
CA-2017-167899,2017-05-26,Standard Class,474
CA-2015-153549,2015-03-31,Second Class,475
CA-2016-110023,2016-09-11,First Class,476
CA-2016-105585,2016-08-27,First Class,477
CA-2014-117639,2014-05-25,Standard Class,478
CA-2015-162537,2015-11-03,Standard Class,479
CA-2016-155488,2016-11-17,Standard Class,480
CA-2015-124891,2015-07-31,Same Day,481
CA-2015-126445,2015-08-31,Standard Class,482
CA-2015-111199,2015-11-17,Standard Class,483
CA-2015-105312,2015-11-09,First Class,484
US-2017-106705,2018-01-01,Standard Class,485
CA-2017-135034,2017-08-03,First Class,486
CA-2014-158540,2014-11-26,First Class,487
CA-2017-118437,2017-06-21,Second Class,488
US-2015-126214,2015-12-24,Second Class,489
CA-2015-133025,2015-09-19,Second Class,490
CA-2015-108665,2015-07-10,Standard Class,491
CA-2015-124450,2015-05-03,Standard Class,492
CA-2015-167269,2015-06-20,Standard Class,493
CA-2017-106964,2017-12-20,First Class,494
CA-2016-126529,2016-01-13,Second Class,495
CA-2014-163552,2014-07-15,Standard Class,496
CA-2016-109820,2016-11-22,First Class,497
CA-2016-113061,2016-04-26,Standard Class,498
CA-2015-127418,2015-06-14,First Class,499
CA-2017-121818,2017-11-21,First Class,500
CA-2016-127670,2016-03-24,Standard Class,501
CA-2016-102981,2016-09-09,Second Class,502
CA-2017-115651,2017-07-12,First Class,503
CA-2017-152702,2017-10-16,Standard Class,504
CA-2016-169103,2016-03-13,Standard Class,505
CA-2014-139192,2014-06-01,Second Class,506
US-2015-153500,2015-07-05,First Class,507
CA-2015-110667,2015-04-08,Standard Class,508
CA-2017-167150,2017-12-17,Standard Class,509
CA-2016-105284,2016-12-01,Standard Class,510
US-2015-125374,2015-03-29,Standard Class,511
CA-2015-161263,2015-04-21,Standard Class,512
CA-2016-157686,2016-10-02,First Class,513
US-2017-139955,2017-09-30,Second Class,514
US-2015-150161,2015-07-29,Standard Class,515
CA-2015-144652,2015-11-26,Standard Class,516
CA-2016-152814,2016-05-02,Standard Class,517
CA-2017-106943,2017-11-19,Standard Class,518
CA-2016-134348,2016-11-19,Standard Class,519
CA-2016-161781,2016-09-30,First Class,520
CA-2017-132521,2017-09-25,Second Class,521
CA-2015-110016,2015-12-04,Standard Class,522
US-2016-143819,2016-03-05,Standard Class,523
CA-2016-167584,2016-08-12,Same Day,524
CA-2016-166163,2016-08-20,Second Class,525
CA-2017-158407,2017-06-10,Standard Class,526
CA-2015-143490,2015-12-13,Standard Class,527
CA-2015-165085,2015-12-31,Standard Class,528
CA-2017-160423,2017-01-26,Standard Class,529
CA-2014-159338,2014-06-28,First Class,530
CA-2016-107216,2016-06-17,First Class,531
US-2017-145863,2017-04-27,Standard Class,532
CA-2016-112340,2016-10-27,Standard Class,533
US-2016-110156,2016-11-24,Standard Class,534
CA-2017-140585,2017-12-23,Second Class,535
CA-2016-144855,2016-07-24,Second Class,536
CA-2015-142755,2015-09-08,Standard Class,537
US-2014-147627,2014-01-26,Standard Class,538
CA-2015-105970,2015-03-07,Standard Class,539
CA-2016-112102,2016-04-16,Standard Class,540
US-2016-114776,2016-12-07,First Class,541
US-2016-134908,2016-06-09,Standard Class,542
US-2016-148803,2016-12-11,Same Day,543
CA-2016-152170,2016-11-15,Second Class,544
CA-2014-146969,2014-10-03,Standard Class,545
CA-2015-112452,2015-04-04,Same Day,546
CA-2015-113971,2015-05-14,Standard Class,547
CA-2017-160395,2017-01-06,Standard Class,548
CA-2014-136567,2014-12-21,First Class,549
CA-2016-149314,2016-07-07,Second Class,550
CA-2017-147039,2017-07-04,Standard Class,551
CA-2014-126522,2014-09-05,Second Class,552
CA-2014-127964,2014-03-08,Standard Class,553
CA-2014-117709,2014-05-08,Standard Class,554
CA-2015-125416,2015-11-02,Same Day,555
CA-2017-145226,2017-12-10,Second Class,556
US-2014-100279,2014-03-14,Standard Class,557
CA-2014-158064,2014-04-25,Standard Class,558
US-2015-104430,2015-10-26,Standard Class,559
CA-2015-132080,2015-08-25,First Class,560
CA-2016-161207,2016-09-03,Standard Class,561
CA-2014-120243,2014-12-30,Second Class,562
CA-2016-113621,2016-12-05,Standard Class,563
CA-2016-168081,2016-04-27,Second Class,564
CA-2014-128146,2014-06-25,Standard Class,565
CA-2017-138779,2017-01-15,First Class,566
CA-2014-127131,2014-11-30,Standard Class,567
CA-2017-117212,2017-02-28,Second Class,568
US-2015-130519,2015-09-15,Same Day,569
CA-2016-130946,2016-04-12,Standard Class,570
CA-2016-114727,2016-07-24,Standard Class,571
CA-2017-133235,2017-08-04,First Class,572
CA-2016-137050,2016-07-18,Second Class,573
US-2017-118087,2017-09-13,Standard Class,574
CA-2014-110184,2014-07-16,Standard Class,575
CA-2016-126004,2016-12-05,First Class,576
CA-2017-100013,2017-11-11,Standard Class,577
CA-2015-132570,2015-11-02,Second Class,578
CA-2016-153682,2016-06-01,First Class,579
CA-2016-144344,2016-10-28,Same Day,580
CA-2014-127012,2014-08-15,Standard Class,581
CA-2016-128727,2016-09-04,Standard Class,582
US-2016-162859,2016-02-22,Standard Class,583
CA-2017-133641,2017-05-21,Standard Class,584
CA-2014-168494,2014-12-14,Second Class,585
CA-2017-115602,2017-12-24,Standard Class,586
CA-2015-154956,2015-07-09,Standard Class,587
CA-2017-144638,2017-03-14,Standard Class,588
US-2016-168620,2016-12-28,Second Class,589
CA-2017-117079,2017-10-27,Standard Class,590
US-2016-144393,2016-11-04,Standard Class,591
CA-2017-105053,2017-07-09,Second Class,592
CA-2016-155992,2016-10-02,First Class,593
CA-2017-110380,2017-09-07,Standard Class,594
US-2014-167738,2014-12-29,Standard Class,595
CA-2017-121412,2017-09-27,Standard Class,596
CA-2017-100426,2017-06-08,Standard Class,597
US-2016-103646,2016-04-26,Standard Class,598
CA-2016-119186,2016-05-26,Same Day,599
CA-2016-148698,2016-05-07,Standard Class,600
